,Plik,f0,formant1,formant2,formant3,formant4,formant5,formant6,plec
72,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_2_Ola.wav,189.27038626609442,0.0,0.0,0.0,0.0,3944.721625674067,17619.632979107824,1
73,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_3_Ola.wav,190.08620689655172,0.0,1020.5927795608549,3646.778473259203,15938.927709610294,22050.0,0.0,1
74,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_4_Ola.wav,192.5764192139738,0.0,589.2895077023662,3705.960477298577,16105.979443898363,22050.0,0.0,1
75,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_5_Ola.wav,191.7391304347826,344.0654049689522,3211.9947913364053,9799.196234418454,16122.859165967026,0.0,0.0,1
76,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_6_Ola.wav,190.08620689655172,0.0,680.8413932499309,4187.7007589192535,16701.602412279284,22050.0,0.0,1
77,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_7_Ola.wav,193.42105263157896,0.0,0.0,457.57467691241646,3468.0977727494887,16464.05362773269,0.0,1
78,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_8_Ola.wav,193.42105263157896,0.0,593.927531264924,3781.9420958635205,16067.816379463737,22050.0,0.0,1
79,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\E_9_Ola.wav,191.7391304347826,0.0,469.18474017235104,3815.369909338351,15873.137035943131,22050.0,0.0,1
80,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\I_10_Ola.wav,198.64864864864865,128.5211316167808,3482.6442487091367,6785.174140771627,18562.871211142872,0.0,0.0,1
81,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\I_1_Ola.wav,196.0,191.49072257350997,3484.6467334642643,10178.26634699134,17667.150797232873,0.0,0.0,1
82,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\I_2_Ola.wav,196.875,186.37167036777234,3979.3736820013823,11533.311096414564,17015.660822393045,0.0,0.0,1
83,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\I_3_Ola.wav,197.7578475336323,179.19700120615641,3286.053579770468,12198.449531445665,17335.999746340935,0.0,0.0,1
84,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\I_4_Ola.wav,196.0,189.57253872705493,3903.2294588297586,12171.682730251003,17204.031804066784,0.0,0.0,1
85,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\I_5_Ola.wav,193.42105263157896,0.0,0.0,3269.6933740584445,6624.9640177759065,18674.086016449553,0.0,1
86,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\I_6_Ola.wav,196.875,0.0,0.0,3245.3829260901007,7450.126836396904,17620.611525828223,0.0,1
87,F:/S2_Semestr3/sygnaly_projekt/vowels_dataset\I_7_Ola.wav,196.0,0.0,0.0,3957.697460789982,10013.626081236443,16613.549602001818,0.0,1
